Date,Open,High,Low,Close,Adj Close,Volume
2014-12-01,12.170400,12.896500,12.163800,12.691400,12.691400,0
2015-01-01,12.680000,12.729200,11.662400,11.754000,11.754000,0
2015-02-01,11.754000,12.064070,11.710200,11.945000,11.945000,0
2015-03-01,11.945000,12.354510,11.893140,12.037100,12.037100,0
2015-04-01,12.026600,12.759770,0.049790,12.670000,12.670000,0
2015-05-01,12.702000,12.846520,12.245300,12.321000,12.321000,0
2015-06-01,12.354410,12.708470,12.315870,12.637370,12.637370,0
2015-07-01,12.586600,12.654150,12.170200,12.501470,12.501470,0
2015-08-01,12.277320,13.002570,12.237000,12.662470,12.662470,0
2015-09-01,12.737900,12.937370,12.530690,12.675870,12.675870,0
2015-10-01,12.698300,12.863410,12.453570,12.607000,12.607000,0
2015-11-01,12.603870,12.741770,12.311500,12.421970,12.421970,0
2015-12-01,12.409870,12.748270,12.132270,12.524000,12.524000,0
2016-01-01,12.423000,13.135240,12.363870,12.979850,12.979850,0
2016-02-01,12.981370,13.809770,12.954050,13.491600,13.491600,0
2016-03-01,13.398870,13.495070,12.993330,13.302900,13.302900,0
2016-04-01,13.291270,13.896970,13.243970,13.680000,13.680000,0
2016-05-01,13.680000,14.246770,13.657440,14.168670,14.168670,0
2016-06-01,14.121070,14.927470,14.105710,14.305470,14.305470,0
2016-07-01,14.136270,14.601890,13.950000,14.360870,14.360870,0
2016-08-01,14.360740,14.518660,13.925370,14.368270,14.368270,0
2016-09-01,14.334270,15.102360,14.143500,14.858630,14.858630,0
2016-10-01,14.754000,14.806240,13.853800,14.179870,14.179870,0
2016-11-01,14.055760,15.798600,13.696610,15.354910,15.354910,0
2016-12-01,15.312970,15.672770,15.127140,15.417000,15.417000,0
2017-01-01,15.417000,16.702770,15.317690,15.848900,15.848900,0
2017-02-01,15.962900,15.962900,14.988270,15.092200,15.092200,0
2017-03-01,15.111100,15.121670,13.976700,14.042100,14.042100,0
2017-04-01,14.032000,14.133470,13.726000,13.790670,13.790670,0
2017-05-01,13.788100,14.059100,13.648470,13.894870,13.894870,0
2017-06-01,13.810500,13.944800,13.446000,13.882600,13.882600,0
2017-07-01,13.971000,14.317880,13.730700,14.249200,14.249200,0
2017-08-01,14.231300,14.376830,13.928200,14.043200,14.043200,0
2017-09-01,14.338470,14.674870,14.291900,14.612000,14.612000,0
2017-10-01,14.612000,15.256150,14.466000,14.988600,14.988600,0
2017-11-01,14.868400,15.107470,14.370270,14.429070,14.429070,0
2017-12-01,14.462900,15.731000,14.456800,15.634000,15.634000,0
2018-01-01,15.626000,15.660270,14.879400,15.210600,15.210600,0
2018-02-01,15.115470,15.141900,14.606000,14.750300,14.750300,0
2018-03-01,14.676100,14.749800,14.054000,14.070000,14.070000,0
2018-04-01,14.054000,14.851970,14.054000,14.522280,14.522280,0
2018-05-01,14.578200,15.558370,14.561600,15.344100,15.344100,0
2018-06-01,15.378600,15.951200,14.753700,15.132000,15.132000,0
2018-07-01,15.132000,15.278300,14.169570,14.221500,14.221500,0
2018-08-01,14.336000,14.843600,14.080800,14.706300,14.706300,0
2018-09-01,14.615000,14.911670,14.371600,14.479000,14.479000,0
2018-10-01,14.539200,15.486700,14.415100,15.302900,15.302900,0
2018-11-01,15.436600,15.542300,14.956400,15.240800,15.240800,0
2018-12-01,15.330000,15.547300,14.364800,14.416800,14.416800,0
2019-01-01,14.474000,14.644900,14.196300,14.534600,14.534600,0
2019-02-01,14.549300,14.695000,14.297900,14.577400,14.577400,0
2019-03-01,14.638700,14.694500,14.075700,14.544000,14.544000,0
2019-04-01,14.485900,14.508000,13.996000,14.127400,14.127400,0
2019-05-01,14.139900,14.615800,14.035200,14.433600,14.433600,0
2019-06-01,14.472000,14.851900,14.211800,14.639000,14.639000,0
2019-07-01,14.626400,14.746200,14.384000,14.500500,14.500500,0
2019-08-01,14.511200,15.210800,14.481200,15.007000,15.007000,0
2019-09-01,15.007000,15.118800,14.558300,14.873400,14.873400,0
2019-10-01,14.900900,15.012100,14.488009,14.500600,14.500600,0
2019-11-01,14.606000,14.792300,14.414000,14.706296,14.706296,0
2019-12-01,14.706296,14.759200,14.344600,14.493300,14.493300,0
2020-01-01,14.544574,14.630800,14.139600,14.223100,14.223100,0
2020-02-01,14.235435,14.785500,13.962582,14.608040,14.608040,0
2020-03-01,14.608040,17.511200,14.367700,16.805099,16.805099,0
2020-04-01,16.873600,18.169399,16.708900,17.114799,17.114799,0
2020-05-01,17.358900,17.626900,15.912900,16.099876,16.099876,0
2020-06-01,16.101700,16.973700,15.900600,16.881399,16.881399,0
2020-07-01,16.953100,16.993999,16.342699,16.407200,16.407200,0
2020-08-01,16.610285,17.073900,16.541216,16.625401,16.625401,0
2020-09-01,16.804899,16.922300,15.816100,16.721100,16.721100,0
2020-10-01,16.586800,16.603001,15.810191,15.893251,15.893251,0
2020-11-01,15.893251,16.551399,15.278100,15.432500,15.432500,0
2020-12-01,15.511400,15.950700,15.377600,15.598300,15.598300,0
2021-01-01,15.606616,16.119131,15.394981,16.109894,16.109894,0
2021-02-01,16.010799,16.695499,15.688625,16.581017,16.581017,0
2021-03-01,16.370846,17.052500,16.223232,16.301632,16.301632,0
2021-04-01,16.263218,16.433901,15.701350,16.320000,16.320000,0
2021-05-01,16.454739,16.657984,16.319401,16.496891,16.496891,0
2021-06-01,16.522400,16.706764,15.954518,15.973430,15.973430,0
2021-07-01,16.081100,16.199659,15.608500,15.944259,15.944259,0
2021-08-01,15.952300,16.133900,15.626670,15.971806,15.971806,0
2021-09-01,15.899417,16.266380,15.622706,16.080299,16.080299,0
2021-10-01,16.261400,16.750299,16.047737,16.502733,16.502733,0
2021-11-01,16.596500,17.361200,16.247259,17.018999,17.018999,0
2021-12-01,16.765400,16.803499,15.986390,16.050699,16.050699,0
2022-01-01,16.053301,16.432827,16.004169,16.322100,16.322100,0
2022-02-01,16.224001,16.296618,15.875636,16.126101,16.126101,0
2022-03-01,16.164000,16.727600,15.834865,15.922100,15.922100,0
2022-04-01,15.893900,16.167629,15.598093,15.963218,15.963218,0
2022-05-01,15.969500,16.025000,15.309831,15.440700,15.440700,0
2022-06-01,15.549300,16.004000,15.316991,15.624700,15.624700,0
2022-07-01,15.617800,16.096457,15.593230,15.843900,15.843900,0
2022-08-01,15.905013,16.152000,15.301988,15.382400,15.382400,0
2022-09-01,15.359100,15.385300,14.613800,14.716153,14.716153,0
2022-10-01,14.715520,14.781100,14.374700,14.561800,14.561800,0
2022-11-01,14.547069,14.758863,14.090400,14.155700,14.155700,0
