"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","13902","","","","0"
"2019","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","15298","","","","0"
"2020","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","12495","","","","0"
"2021","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","15517","","","","0"
"2022","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","18180","","","","0"
"2023","Canada","2016A000011124","Receipts","Secondary income","All countries","Dollars","81","millions","6","v61914430","1.1.17.1","18895","","","","0"
"2010","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","2901","","","","0"
"2011","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3282","","","","0"
"2012","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3295","","","","0"
"2013","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3654","","","","0"
"2014","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3357","","","","0"
"2015","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3592","","","","0"
"2016","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","5779","","","","0"
"2017","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","3740","","","","0"
"2018","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4208","","","","0"
"2019","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4384","","","","0"
"2020","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4417","","","","0"
"2021","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4460","","","","0"
"2022","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","4829","","","","0"
"2023","Canada","2016A000011124","Receipts","Private transfers","All countries","Dollars","81","millions","6","v61914438","1.1.18.1","5409","","","","0"
"2010","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","6121","","","","0"
"2011","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","6128","","","","0"
"2012","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","5626","","","","0"
"2013","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","6036","","","","0"
"2014","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","7324","","","","0"
"2015","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","7336","","","","0"
"2016","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","7469","","","","0"
"2017","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","8212","","","","0"
"2018","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","9694","","","","0"
"2019","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","10914","","","","0"
"2020","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","8078","","","","0"
"2021","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","11057","","","","0"
"2022","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","13350","","","","0"
"2023","Canada","2016A000011124","Receipts","Government transfers","All countries","Dollars","81","millions","6","v61914447","1.1.23.1","13486","","","","0"
"2010","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","259","","","","0"
"2011","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","4907","","","","0"
"2012","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","285","","","","0"
"2013","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","300","","","","0"
"2014","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","879","","","","0"
"2015","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","330","","","","0"
"2016","Canada","2016A000011124","Receipts","Capital account","All countries","Dollars","81","millions","6","v61914457","1.1.27.1","280","","","","0"
